Name,Path,Description
Disabled Objects,"OU=WAL,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=WAL,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=WAL,OU=Managed Objects,DC=corp,DC=global,DC=ads",
APP,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Appleton WI
Users,"OU=APP,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=APP,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=APP,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=APP,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=APP,OU=Managed Objects,DC=corp,DC=global,DC=ads",
CAM,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Camas WA
Users,"OU=CAM,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=CAM,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=CAM,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=CAM,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=CAM,OU=Managed Objects,DC=corp,DC=global,DC=ads",
CLV,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Cleveland OH
Users,"OU=CLV,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=CLV,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=CLV,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=CLV,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=CLV,OU=Managed Objects,DC=corp,DC=global,DC=ads",
EDG,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Edgerton WI
Users,"OU=EDG,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=EDG,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=EDG,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=EDG,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=EDG,OU=Managed Objects,DC=corp,DC=global,DC=ads",
GVL,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Greenville WI
Users,"OU=GVL,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=GVL,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=GVL,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=GVL,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=GVL,OU=Managed Objects,DC=corp,DC=global,DC=ads",
KEN,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Keene NH
